"body","rkm","lat","long"
"Nanticoke River",53,38.5607695903252,-75.7022509000956
"Nanticoke River",54,38.5573486594596,-75.6924896826355
"Nanticoke River",55,38.5636366620603,-75.684673774717
"Nanticoke River",56,38.5694568963997,-75.6763144480264
"Nanticoke River",57,38.576666068295,-75.6699057481525
"Nanticoke River",58,38.5854541505057,-75.669840127926
"Nanticoke River",59,38.5899324772835,-75.6618925842921
"Nanticoke River",60,38.5979880944713,-75.6574511109743
"Nanticoke River",61,38.6053740164658,-75.6514808360664
"Nanticoke River",62,38.611026263762,-75.6437406667015
"Nanticoke River",63,38.6162426132569,-75.6352816350502
"Nanticoke River",64,38.6216678290431,-75.6263505356215
"Nanticoke River",65,38.6291187654784,-75.6215057428883
"Nanticoke River",66,38.6359975890017,-75.6148833112366
"Nanticoke River",67,38.6402146298095,-75.6058927573016
"Nanticoke River",68,38.6394314217987,-75.5964922058241
"Nanticoke River",69,38.6439984940163,-75.589475784942
"Nanticoke River",70,38.649265882502,-75.5869616340141
"Nanticoke River",71,38.6484840056643,-75.577408473683
"Nanticoke River",72,38.655360860709,-75.5761026252451
"Nanticoke River",73,38.6593976337417,-75.5713863897308
"Nanticoke River",74,38.6631095412767,-75.5650632538989
"Nanticoke River",75,38.6690025432474,-75.5605621389444
"Nanticoke River",76,38.6764973353725,-75.5578839652397
"Nanticoke River",77,38.6827262944518,-75.5560970709696
"Nanticoke River",78,38.689198069656,-75.5567429725344
"Nanticoke River",79,38.6957102928426,-75.556186584155
"Nanticoke River",80,38.7003386115173,-75.5558997531778
"Nanticoke River",81,38.707912091171,-75.5583465668036
