fullid,totallength,time,time.local,datecaptured,dist
A69-9001-21069,1750,2021-09-21T23:47:12.356760Z,2021-09-21T23:47:12.356760Z,2017-08-29,70.6260610681363
A69-9001-21069,1750,2021-09-21T23:48:49.264521Z,2021-09-21T23:48:49.264521Z,2017-08-29,27.1058500838645
A69-9001-21069,1750,2021-09-21T23:50:46.459498Z,2021-09-21T23:50:46.459498Z,2017-08-29,61.3471291416327
A69-9001-21069,1750,2021-09-22T00:06:46.372528Z,2021-09-22T00:06:46.372528Z,2017-08-29,64.4780418882587
A69-9001-21069,1750,2021-09-22T00:08:53.258980Z,2021-09-22T00:08:53.258980Z,2017-08-29,89.1433182579584
A69-9001-21069,1750,2021-09-23T01:18:30.667081Z,2021-09-23T01:18:30.667081Z,2017-08-29,97.082706716239
A69-9001-21069,1750,2021-09-23T03:47:39.820389Z,2021-09-23T03:47:39.820389Z,2017-08-29,95.7218720404411
A69-9001-18010,1861,2021-10-02T18:24:45.015456Z,2021-10-02T18:24:45.015456Z,2018-09-27,79.9828504607301
A69-9001-18010,1861,2021-10-02T18:26:54.609897Z,2021-10-02T18:26:54.609897Z,2018-09-27,23.0094174443447
A69-9001-18010,1861,2021-10-02T18:28:40.492583Z,2021-10-02T18:28:40.492583Z,2018-09-27,29.7283137029716
A69-9001-18010,1861,2021-10-02T18:30:56.943094Z,2021-10-02T18:30:56.943094Z,2018-09-27,91.4139668354674
A69-9001-18010,1861,2021-10-02T18:32:54.665428Z,2021-10-02T18:32:54.665428Z,2018-09-27,89.5255709364081
A69-9001-18010,1861,2021-10-02T18:34:14.652032Z,2021-10-02T18:34:14.652032Z,2018-09-27,93.9611692060306
A69-9001-18010,1861,2021-10-02T19:42:34.393256Z,2021-10-02T19:42:34.393256Z,2018-09-27,73.9609352759824
A69-9001-18010,1861,2021-10-02T19:47:04.309412Z,2021-10-02T19:47:04.309412Z,2018-09-27,71.6066370421428
A69-9001-18010,1861,2021-10-03T11:42:04.162440Z,2021-10-03T11:42:04.162440Z,2018-09-27,82.1444155779405
A69-9001-18010,1861,2021-10-03T11:43:33.503999Z,2021-10-03T11:43:33.503999Z,2018-09-27,33.1409571843441
A69-9001-18010,1861,2021-10-03T11:45:16.911772Z,2021-10-03T11:45:16.911772Z,2018-09-27,70.4015784730156
A69-9001-18979,1758,2021-09-21T03:34:25.362312Z,2021-09-21T03:34:25.362312Z,2019-09-19,22.2879122044745
A69-9001-18979,1758,2021-09-21T07:17:41.901494Z,2021-09-21T07:17:41.901494Z,2019-09-19,94.61572045468
A69-9001-18979,1758,2021-09-21T07:19:27.734974Z,2021-09-21T07:19:27.734974Z,2019-09-19,72.0006528921325
A69-9001-18979,1758,2021-09-21T07:21:43.837103Z,2021-09-21T07:21:43.837103Z,2019-09-19,71.3400148820671
A69-9001-18979,1758,2021-09-22T02:46:37.496687Z,2021-09-22T02:46:37.496687Z,2019-09-19,43.5562619229901
A69-9001-18979,1758,2021-09-22T02:49:11.381177Z,2021-09-22T02:49:11.381177Z,2019-09-19,97.9391621851823
A69-9001-18979,1758,2021-09-27T15:15:13.157059Z,2021-09-27T15:15:13.157059Z,2019-09-19,61.7161653041418
A69-9001-18979,1758,2021-09-27T18:04:59.453185Z,2021-09-27T18:04:59.453185Z,2019-09-19,59.3026944025083
A69-9001-18979,1758,2021-10-01T08:27:26.832176Z,2021-10-01T08:27:26.832176Z,2019-09-19,57.5653808342446
A69-9001-18982,1803,2021-10-11T06:03:32.727339Z,2021-10-11T06:03:32.727339Z,2021-09-07,44.4300927584255
A69-9001-18982,1803,2021-10-11T06:05:47.609638Z,2021-10-11T06:05:47.609638Z,2021-09-07,69.4333715426913
A69-9001-18985,1734,2021-09-28T08:37:47.192695Z,2021-09-28T08:37:47.192695Z,2021-09-27,71.6489086218198
A69-9001-18985,1734,2021-09-28T08:41:40.890971Z,2021-09-28T08:41:40.890971Z,2021-09-27,46.1106579209095
A69-9001-18985,1734,2021-09-28T08:43:05.863535Z,2021-09-28T08:43:05.863535Z,2021-09-27,94.9643505045003
A69-9001-18985,1734,2021-09-28T18:11:57.268844Z,2021-09-28T18:11:57.268844Z,2021-09-27,26.7569572401283
A69-9001-18985,1734,2021-09-28T18:14:23.085289Z,2021-09-28T18:14:23.085289Z,2021-09-27,53.8879013063931
A69-9001-18985,1734,2021-09-30T06:46:40.409072Z,2021-09-30T06:46:40.409072Z,2021-09-27,90.0110829947575
A69-9001-18985,1734,2021-09-30T06:48:35.017408Z,2021-09-30T06:48:35.017408Z,2021-09-27,15.6391558295625
A69-9001-18985,1734,2021-09-30T06:51:09.254081Z,2021-09-30T06:51:09.254081Z,2021-09-27,96.5730786653563
A69-9001-18985,1734,2021-09-30T08:54:23.704552Z,2021-09-30T08:54:23.704552Z,2021-09-27,94.6496581951923
A69-9001-18985,1734,2021-09-30T08:56:20.509438Z,2021-09-30T08:56:20.509438Z,2021-09-27,56.6104898732538
A69-9001-18985,1734,2021-09-30T08:57:38.939081Z,2021-09-30T08:57:38.939081Z,2021-09-27,31.4665750737366
A69-9001-18985,1734,2021-09-30T08:59:00.482046Z,2021-09-30T08:59:00.482046Z,2021-09-27,12.5779085129547
A69-9001-18985,1734,2021-09-30T09:00:28.581241Z,2021-09-30T09:00:28.581241Z,2021-09-27,30.8294569938755
A69-9001-18985,1734,2021-09-30T09:02:09.793892Z,2021-09-30T09:02:09.793892Z,2021-09-27,60.7729618796819
A69-9001-18985,1734,2021-09-30T09:04:17.208776Z,2021-09-30T09:04:17.208776Z,2021-09-27,97.8722758877496
