lat,lon,date,time
38.62985514,-75.82006195,9/22/2020,10:43:19
38.62984732,-75.82006262,9/22/2020,10:43:20
38.6298395,-75.8200633,9/22/2020,10:43:21
38.62983168,-75.82006398,9/22/2020,10:43:22
38.62982386,-75.82006465,9/22/2020,10:43:23
38.62981604,-75.82006533,9/22/2020,10:43:24
38.62980821,-75.82006601,9/22/2020,10:43:25
38.62980039,-75.82006668,9/22/2020,10:43:26
38.62979257,-75.82006736,9/22/2020,10:43:27
38.62978429,-75.82007055,9/22/2020,10:43:28
38.62977601,-75.82007373,9/22/2020,10:43:29
38.62976773,-75.82007692,9/22/2020,10:43:30
38.62975945,-75.8200801,9/22/2020,10:43:31
38.62975118,-75.82008329,9/22/2020,10:43:32
38.6297429,-75.82008647,9/22/2020,10:43:33
38.62973462,-75.82008966,9/22/2020,10:43:34
38.62972634,-75.82009284,9/22/2020,10:43:35
38.62971806,-75.82009603,9/22/2020,10:43:36
38.62970978,-75.82009921,9/22/2020,10:43:37
38.6297015,-75.8201024,9/22/2020,10:43:38
38.62969322,-75.82010558,9/22/2020,10:43:39
38.62968494,-75.82010877,9/22/2020,10:43:40
38.62967666,-75.82011195,9/22/2020,10:43:41
38.62966839,-75.82011514,9/22/2020,10:43:42
38.62966011,-75.82011832,9/22/2020,10:43:43
38.62965183,-75.82012151,9/22/2020,10:43:44
38.62964355,-75.82012469,9/22/2020,10:43:45
38.62963527,-75.82012788,9/22/2020,10:43:46
38.62962699,-75.82013106,9/22/2020,10:43:47
38.62961871,-75.82013425,9/22/2020,10:43:48
38.62961043,-75.82013743,9/22/2020,10:43:49
38.62960215,-75.82014062,9/22/2020,10:43:50
38.62959387,-75.8201438,9/22/2020,10:43:51
38.6295856,-75.82014699,9/22/2020,10:43:52
38.62957732,-75.82015017,9/22/2020,10:43:53
38.62956904,-75.82015336,9/22/2020,10:43:54
38.62956076,-75.82015654,9/22/2020,10:43:55
38.62955248,-75.82015973,9/22/2020,10:43:56
38.6295442,-75.82016291,9/22/2020,10:43:57
38.62953592,-75.8201661,9/22/2020,10:43:58
38.62952764,-75.82016928,9/22/2020,10:43:59
38.62951936,-75.82017247,9/22/2020,10:44:00
38.62951108,-75.82017565,9/22/2020,10:44:01
38.62950281,-75.82017884,9/22/2020,10:44:02
38.62949453,-75.82018202,9/22/2020,10:44:03
38.62948625,-75.82018521,9/22/2020,10:44:04
38.62947797,-75.82018839,9/22/2020,10:44:05
38.62946969,-75.82019158,9/22/2020,10:44:06
38.62946084,-75.82018994,9/22/2020,10:44:07
38.629452,-75.82018829,9/22/2020,10:44:08
38.62944315,-75.82018665,9/22/2020,10:44:09
38.62943431,-75.820185,9/22/2020,10:44:10
38.62942546,-75.82018336,9/22/2020,10:44:11
38.62941661,-75.82018172,9/22/2020,10:44:12
38.62940777,-75.82018007,9/22/2020,10:44:13
38.62939892,-75.82017843,9/22/2020,10:44:14
38.62939008,-75.82017678,9/22/2020,10:44:15
38.62938123,-75.82017514,9/22/2020,10:44:16
38.62937239,-75.82017349,9/22/2020,10:44:17
