"from","to","distance_m"
"2 Fook's pier","3.4 Marshyhope/Puckums Branch",9844
"2 Fook's pier","3.4 Puckum's Branch",9844
"2 Fook's pier","3.6 Marshyhope/Below Puckum's Branch",12178
"2 Fook's pier","3.6 Below Puckum's Branch",12178
"2 Fook's pier","3.8 Marshyhope/Above Brookview Bridge",13989
"2 Fook's pier","3.8 Above Brookview Bridge",13989
"2 Fook's pier","Marshyhope/Brookview buoy",14480
"2 Fook's pier","4 Marshyhope/Brookview buoy",15289
"2 Fook's pier","4 Brookview buoy",15289
"2 Fook's pier","4.2 Below Brookview",16679
"2 Fook's pier","4.2 Marshyhope/Below Brookview",16679
"2 Fook's pier","4.4 Above Walnut Landing Rd.",17976
"2 Fook's pier","4.4 Marshyhope/Above Walnut Landing Rd.",17976
"2 Fook's pier","4.4 Above Walnut Landing",17976
"2 Fook's pier","4.6 Walnut Landing Rd.",19291
"2 Fook's pier","4.8 Red Bank",21328
"2 Fook's pier","4.9 Marshyhope confluence",23185
"Marshyhope/Fooks pier","Marshyhope/Fooks pier",0
"Marshyhope/Fooks pier","2.6 Marshyhope/Below Yellow House",1725
"Marshyhope/Fooks pier","2.6 Below Yellow House",1725
"Marshyhope/Fooks pier","2.3 Marshyhope/Yellow House",1211
"Marshyhope/Fooks pier","2.3 Yellow House",1211
"Marshyhope/Fooks pier","2.8 Marshyhope/Wright",2991
"Marshyhope/Fooks pier","2.8 Wright",2991
"Marshyhope/Fooks pier","3.9 Pump House",4156
"Marshyhope/Fooks pier","Marshyhope/Grey Cabin",5055
"Marshyhope/Fooks pier","3 Marshyhope/Grey Cabin",5055
"Marshyhope/Fooks pier","3 Palmer's Mill",5055
"Marshyhope/Fooks pier","3.2 Marshyhope/Below 392 Bridge",7356
"Marshyhope/Fooks pier","3.2 Below 392 Bridge",7356
"Marshyhope/Fooks pier","3.4 Marshyhope/Puckums Branch",9844
"Marshyhope/Fooks pier","3.4 Puckum's Branch",9844
"Marshyhope/Fooks pier","3.6 Marshyhope/Below Puckum's Branch",12178
"Marshyhope/Fooks pier","3.6 Below Puckum's Branch",12178
"Marshyhope/Fooks pier","3.8 Marshyhope/Above Brookview Bridge",13989
"Marshyhope/Fooks pier","3.8 Above Brookview Bridge",13989
"Marshyhope/Fooks pier","Marshyhope/Brookview buoy",14480
"Marshyhope/Fooks pier","4 Marshyhope/Brookview buoy",15289
"Marshyhope/Fooks pier","4 Brookview buoy",15289
"Marshyhope/Fooks pier","4.2 Below Brookview",16679
"Marshyhope/Fooks pier","4.2 Marshyhope/Below Brookview",16679
"Marshyhope/Fooks pier","4.4 Above Walnut Landing Rd.",17976
"Marshyhope/Fooks pier","4.4 Marshyhope/Above Walnut Landing Rd.",17976
"Marshyhope/Fooks pier","4.4 Above Walnut Landing",17976
"Marshyhope/Fooks pier","4.6 Walnut Landing Rd.",19291
"Marshyhope/Fooks pier","4.8 Red Bank",21328
"Marshyhope/Fooks pier","4.9 Marshyhope confluence",23185
"2.6 Marshyhope/Below Yellow House","2.6 Marshyhope/Below Yellow House",0
"2.6 Marshyhope/Below Yellow House","2.6 Below Yellow House",0
"2.6 Marshyhope/Below Yellow House","2.3 Marshyhope/Yellow House",514
"2.6 Marshyhope/Below Yellow House","2.3 Yellow House",514
"2.6 Marshyhope/Below Yellow House","2.8 Marshyhope/Wright",1267
"2.6 Marshyhope/Below Yellow House","2.8 Wright",1267
"2.6 Marshyhope/Below Yellow House","3.9 Pump House",2432
"2.6 Marshyhope/Below Yellow House","Marshyhope/Grey Cabin",3330
"2.6 Marshyhope/Below Yellow House","3 Marshyhope/Grey Cabin",3330
"2.6 Marshyhope/Below Yellow House","3 Palmer's Mill",3330
"2.6 Marshyhope/Below Yellow House","3.2 Marshyhope/Below 392 Bridge",5632
"2.6 Marshyhope/Below Yellow House","3.2 Below 392 Bridge",5632
"2.6 Marshyhope/Below Yellow House","3.4 Marshyhope/Puckums Branch",8120
"2.6 Marshyhope/Below Yellow House","3.4 Puckum's Branch",8120
"2.6 Marshyhope/Below Yellow House","3.6 Marshyhope/Below Puckum's Branch",10453
"2.6 Marshyhope/Below Yellow House","3.6 Below Puckum's Branch",10453
"2.6 Marshyhope/Below Yellow House","3.8 Marshyhope/Above Brookview Bridge",12264
"2.6 Marshyhope/Below Yellow House","3.8 Above Brookview Bridge",12264
"2.6 Marshyhope/Below Yellow House","Marshyhope/Brookview buoy",12755
"2.6 Marshyhope/Below Yellow House","4 Marshyhope/Brookview buoy",13564
"2.6 Marshyhope/Below Yellow House","4 Brookview buoy",13564
"2.6 Marshyhope/Below Yellow House","4.2 Below Brookview",14955
"2.6 Marshyhope/Below Yellow House","4.2 Marshyhope/Below Brookview",14955
"2.6 Marshyhope/Below Yellow House","4.4 Above Walnut Landing Rd.",16252
"2.6 Marshyhope/Below Yellow House","4.4 Marshyhope/Above Walnut Landing Rd.",16252
"2.6 Marshyhope/Below Yellow House","4.4 Above Walnut Landing",16252
"2.6 Marshyhope/Below Yellow House","4.6 Walnut Landing Rd.",17566
"2.6 Marshyhope/Below Yellow House","4.8 Red Bank",19603
"2.6 Marshyhope/Below Yellow House","4.9 Marshyhope confluence",21460
"2.6 Below Yellow House","2.6 Below Yellow House",0
"2.6 Below Yellow House","2.3 Marshyhope/Yellow House",514
"2.6 Below Yellow House","2.3 Yellow House",514
"2.6 Below Yellow House","2.8 Marshyhope/Wright",1267
"2.6 Below Yellow House","2.8 Wright",1267
"2.6 Below Yellow House","3.9 Pump House",2432
"2.6 Below Yellow House","Marshyhope/Grey Cabin",3330
"2.6 Below Yellow House","3 Marshyhope/Grey Cabin",3330
"2.6 Below Yellow House","3 Palmer's Mill",3330
"2.6 Below Yellow House","3.2 Marshyhope/Below 392 Bridge",5632
"2.6 Below Yellow House","3.2 Below 392 Bridge",5632
"2.6 Below Yellow House","3.4 Marshyhope/Puckums Branch",8120
"2.6 Below Yellow House","3.4 Puckum's Branch",8120
"2.6 Below Yellow House","3.6 Marshyhope/Below Puckum's Branch",10453
"2.6 Below Yellow House","3.6 Below Puckum's Branch",10453
"2.6 Below Yellow House","3.8 Marshyhope/Above Brookview Bridge",12264
"2.6 Below Yellow House","3.8 Above Brookview Bridge",12264
"2.6 Below Yellow House","Marshyhope/Brookview buoy",12755
"2.6 Below Yellow House","4 Marshyhope/Brookview buoy",13564
"2.6 Below Yellow House","4 Brookview buoy",13564
"2.6 Below Yellow House","4.2 Below Brookview",14955
"2.6 Below Yellow House","4.2 Marshyhope/Below Brookview",14955
"2.6 Below Yellow House","4.4 Above Walnut Landing Rd.",16252
"2.6 Below Yellow House","4.4 Marshyhope/Above Walnut Landing Rd.",16252
"2.6 Below Yellow House","4.4 Above Walnut Landing",16252
"2.6 Below Yellow House","4.6 Walnut Landing Rd.",17566
"2.6 Below Yellow House","4.8 Red Bank",19603
"2.6 Below Yellow House","4.9 Marshyhope confluence",21460
"2.3 Marshyhope/Yellow House","2.3 Marshyhope/Yellow House",0
"2.3 Marshyhope/Yellow House","2.3 Yellow House",0
"2.3 Marshyhope/Yellow House","2.8 Marshyhope/Wright",1781
